BF;  4362;20180209  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        3000;      1,38;        
BF; 36480;20181122  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        2000;      1,38;        
BF; 12534;20180417  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        3000;      1,38;        
BF; 31404;20181009  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        2000;      1,38;        
BF; 32707;20181018  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        3000;      1,38;        
BF; 13073;20180419  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        4000;      1,36;        
BF; 15809;20180516  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        3000;      1,36;        
BF; 17432;20180530  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;        4000;      1,38;        
BF;   239;20181206  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;         500;      16,7;        
BF; 20188;20180831  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;         500;      17,7;        
BF; 23686;20181005  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;         300;      17,6;        
BF; 20610;20181114  ;401.00270;RAINOLDI S.P.A.                                             ;A0005   ;NICHEL SOLFATO                                                          ;         300;       4,7;        
BF; 21842;20181130  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;         500;      0,66;        
BF; 22169;20181206  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;        1000;      0,66;        
BF;  8780;20180516  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;        1000;      0,64;        
BF;  3596;20180226  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;        1000;      0,64;        
BF;   503;20181004  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;         130;       5,1;        
BF;    63;20180207  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;         130;       5,1;        
BF;   247;20180516  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;         130;       5,1;        
BF;   385;20180713  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;         130;       5,1;        
BF;   381;20180711  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0015   ;RAME NITRATO SOLUZIONE 55% ST/01                                        ;         130;       3,7;        
BF;    69;20180222  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0015   ;RAME NITRATO SOLUZIONE 55% ST/01                                        ;         130;       3,7;        
BF; 16232;20180911  ;401.00270;RAINOLDI S.P.A.                                             ;A0018   ;AMMONIO BIFLUORURO                                                      ;         100;      2,48;        
BF; 21773;20181130  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;        3000;      0,56;        
BF;  5266;20180321  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;        1000;      0,53;        
BF; 13889;20180726  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;        3000;      0,55;        
BF; 20293;20181108  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;        2000;      0,64;        
