BF;  5908;20191206  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0002   ;CALCIO CARBONATO PRECIPITATO                                            ;KG;        1200;   0,45000;        
BF; 16644;20190521  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF; 12149;20190410  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF; 24234;20190723  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF; 31382;20191008  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF; 21869;20190705  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF; 14343;20190506  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        2000;   1,41000;        
BF;  3712;20190131  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,38000;        
BF; 19378;20190613  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,41000;        
BF;  2838;20190201  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         150;  17,80000;        
BF; 10336;20190418  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         200;  17,80000;        
BF; 15848;20190621  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         500;  17,80000;        
BF;  9285;20190409  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         200;  17,80000;        
BF; 19497;20190729  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         500;  17,80000;        
BF; 26234;20191021  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         250;  17,80000;        
BF;  5701;20190228  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         300;  17,80000;        
BF; 23061;20190924  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         200;  17,80000;        
BF; 19118;20191016  ;401.00270;RAINOLDI S.P.A.                                             ;A0005   ;NICHEL SOLFATO                                                          ;KG;         100;   5,80000;        
BF; 19109;20191016  ;401.00270;RAINOLDI S.P.A.                                             ;A0006   ;RAME SOLFATO NEVE "Mannica" dopp                                        ;KG;         500;   2,55000;        
BF; 13930;20190722  ;401.00270;RAINOLDI S.P.A.                                             ;A0006   ;RAME SOLFATO NEVE "Mannica" dopp                                        ;KG;         400;   2,55000;        
BF; 23390;20191218  ;401.00270;RAINOLDI S.P.A.                                             ;A0006   ;RAME SOLFATO NEVE "Mannica" dopp                                        ;KG;         500;   2,64000;        
BF; 22988;20191212  ;401.00270;RAINOLDI S.P.A.                                             ;A0006   ;RAME SOLFATO NEVE "Mannica" dopp                                        ;KG;        2250;   2,64000;        
BF;  4787;20190312  ;401.00270;RAINOLDI S.P.A.                                             ;A0006   ;RAME SOLFATO NEVE "Mannica" dopp                                        ;KG;         500;   2,55000;        
BF;   242;20190517  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;KG;         130;   5,10000;        
BF;   561;20191105  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;KG;         130;   5,10000;        
BF;   108;20190304  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0012   ;NICHEL NITRATO SOLUZIONE 70 %                                           ;KG;         130;   5,10000;        
BF; 26214;20191129  ;401.00178;BRENNTAG SPA                                                ;A0014   ;POTASSIO SOLFATO 50-52                                                  ;KG;        2400;   0,75000;        
BF; 22165;20191015  ;401.00178;BRENNTAG SPA                                                ;A0014   ;POTASSIO SOLFATO 50-52                                                  ;KG;          25;   0,75000;        
BF;   242;20190517  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0015   ;RAME NITRATO SOLUZIONE 55% ST/01                                        ;KG;         130;   3,70000;        
BF;   108;20190304  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0015   ;RAME NITRATO SOLUZIONE 55% ST/01                                        ;KG;         130;   3,70000;        
BF;   522;20191017  ;415.00494;POLETTO ALDO S.R.L.                                         ;A0015   ;RAME NITRATO SOLUZIONE 55% ST/01                                        ;KG;         130;   3,70000;        
BF;  8241;20190503  ;401.00270;RAINOLDI S.P.A.                                             ;A0020   ;CALCIO CLORURO Soluzione 34/36 %                                        ;KG;         200;   0,48000;        
BF; 13401;20190715  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;KG;        3000;   0,56000;        
BF;  6014;20190328  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;KG;        3000;   0,56000;        
BF; 13152;20190711  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;KG;        1000;   0,56000;        
BF; 19523;20191022  ;401.00270;RAINOLDI S.P.A.                                             ;A0026   ;POTASSIO SILICATO 35/36 BE'LIQUI                                        ;KG;        2000;   0,56000;        
BF; 18246;20191003  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF; 10870;20190610  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;  9141;20190516  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        1000;   0,64000;        
BF;   533;20190109  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF; 17885;20190930  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;  2389;20190206  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF; 15741;20190828  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;  8222;20190503  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF; 13930;20190722  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        1000;   0,64000;        
BF; 14888;20190806  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;  4086;20190301  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF; 21904;20191127  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;  5573;20190322  ;401.00270;RAINOLDI S.P.A.                                             ;A0030   ;POTASSIO CLORURO 60-62% SACCHI                                          ;KG;        2000;   0,64000;        
BF;   640;20191002  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        3000;   3,17000;        
BF;   528;20190729  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        1000;   3,25000;        
BF;   538;20190805  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        4000;   3,25000;        
BF;   538;20190805  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,25000;        
BF;   336;20190508  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,28000;        
BF;   802;20191203  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,20000;        
BF;   238;20190403  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        2000;   3,18000;        
BF;   730;20191104  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        2000;   3,20000;        
BF;   275;20190418  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        3000;   3,18000;        
BF;   415;20190606  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,28000;        
BF;   729;20191104  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,20000;        
BF;     4;20190206  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        1000;   3,10000;        
BF;   694;20191022  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,20000;        
BF;   464;20190627  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        8000;   3,28000;        
BF;   640;20191002  ;401.00312;KEPHAS S.R.L.                                               ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,17000;        
BF;    26;20190207  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        2000;   3,85000;        
BF;     6;20190109  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF; 29635;20190924  ;401.00178;BRENNTAG SPA                                                ;A0099   ;ACIDO TARTARICO                                                         ;KG;          25;   5,13000;        
BF;   962;20190122  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 17884;20190930  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,63000;        
BF; 19160;20191016  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        1050;   0,63000;        
BF; 11581;20190619  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 12777;20190705  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,63000;        
BF;  5348;20190320  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 16287;20190905  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,63000;        
BF;  6595;20190405  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF;  2932;20190213  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 21083;20191114  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,63000;        
BF; 21520;20191121  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        5250;   0,63000;        
BF; 14469;20190729  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,63000;        
BF;  8675;20190510  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 14887;20190507  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  25,80000;        
BF; 30857;20191002  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  25,80000;        
BF; 34294;20191031  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  25,80000;        
BF; 33168;20191021  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  25,80000;        
BF;   865;20190109  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  22,80000;        
BF; 17354;20190527  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         300;  25,80000;        
BF; 39489;20191218  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         199;  25,80000;        
BF; 22652;20190709  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         300;  25,80000;        
BF;  9044;20190314  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         100;  25,80000;        
BF;  7683;20190305  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         100;  25,80000;        
BF;  4709;20191210  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;   952;20190315  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  3210;20190916  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  2012;20190604  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  2397;20190514  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;KG;        1250;   0,30000;        
BF;   882;20190220  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;KG;        1250;   0,32000;        
BF;   323;20190730  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16680;   0,08500;        
BF;   339;20190807  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       13600;   0,08500;        
BF;   348;20190827  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       12760;   0,08500;        
BF;   168;20190411  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14860;   0,08500;        
BF;   146;20190329  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15260;   0,08500;        
