CL; 27119;20190403  ;         ;                                                            ;A3301   ;ZINCO STEARATO                                                          ;        1000;   1,29915;        
CL; 27603;20190715  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;       18900;   0,54178;        
CL; 27710;20190806  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;        9740;   0,54178;        
CL; 27946;20191011  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;       25460;   0,50979;        
CL; 27153;20190411  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;       16540;   0,52489;        
CL; 27152;20190411  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;        3640;   0,52489;        
CL; 26759;20190117  ;         ;                                                            ;EDRAXS  ;Energo DRAX S                                                           ;       15580;   0,52163;        
CL; 26752;20190117  ;         ;                                                            ;EEFAT   ;Energo Eccofat 100                                                      ;        1000;   0,54936;        
CL; 27247;20190508  ;         ;                                                            ;EGROTT  ;Energo GROOT                                                            ;        1900;   0,56413;        
CL; 26724;20190115  ;         ;                                                            ;EKABR 4 ;Energo Kabron 4                                                         ;          20;    0,2953;        
CL; 26725;20190115  ;         ;                                                            ;EKABR 4 ;Energo Kabron 4                                                         ;          20;    0,2953;        
CL; 26726;20190115  ;         ;                                                            ;EKABR 4 ;Energo Kabron 4                                                         ;          20;    0,2953;        
CL; 26723;20190114  ;         ;                                                            ;EKABR 4 ;Energo Kabron 4                                                         ;           1;   0,29539;        
CL; 26728;20190115  ;         ;                                                            ;EKABR 4 ;Energo Kabron 4                                                         ;          20;    0,2953;        
CL; 26771;20190121  ;         ;                                                            ;EKABR 6 ;Energo Kabron 6 Export                                                  ;         560;   0,29661;        
CL; 26772;20190121  ;         ;                                                            ;EKABR 6 ;Energo Kabron 6 Export                                                  ;        9200;   0,29661;        
CL; 28177;20191206  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;         760;   0,53776;        
CL; 27828;20190917  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        6255;    0,4534;        
CL; 28227;20191218  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        7920;   0,53776;        
CL; 26846;20190206  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        7820;   0,46237;        
CL; 27651;20190723  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        6000;   0,44521;        
CL; 27709;20190805  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        1960;   0,44521;        
CL; 27209;20190423  ;         ;                                                            ;EKABR 8 ;Energo Kabron Italia                                                    ;        7660;   0,45611;        
CL; 26701;20190109  ;         ;                                                            ;ESCPB   ;Energo SCP Base                                                         ;         400;   0,99059;        
CL; 27593;20190712  ;         ;                                                            ;ESCPB   ;Energo SCP Base                                                         ;         250;   1,13886;        
CL; 26713;20190111  ;         ;                                                            ;EZHP    ;Energo Zinking HP                                                       ;        1000;   1,36462;        
CL; 26712;20190111  ;         ;                                                            ;EZHP    ;Energo Zinking HP                                                       ;        1840;   1,36462;        
CL; 26711;20190111  ;         ;                                                            ;EZINK   ;Energo Zinking                                                          ;        9700;   1,19122;        
CL; 27656;20190724  ;         ;                                                            ;EZINK   ;Energo Zinking                                                          ;        4960;   1,30413;        
CL; 26778;20190122  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;       13500;   0,91629;        
CL; 27861;20190924  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;        6000;   0,67617;        
CL; 27858;20190921  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;        9000;   0,67617;        
CL; 27293;20190515  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;       19500;   0,96824;        
CL; 28028;20191104  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;       18000;   0,91875;        
CL; 26960;20190305  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;       15220;   0,90924;        
CL; 27240;20190507  ;         ;                                                            ;F4533A  ;Pancover F 4533 A                                                       ;       20400;   0,99569;        
CL; 27843;20190921  ;         ;                                                            ;F4534   ;Pancover F 4534 P (NON USARE)                                           ;        3000;   0,52718;        
CL; 26952;20190304  ;         ;                                                            ;F4534   ;Pancover F 4534 P (NON USARE)                                           ;        4500;   0,82696;        
CL; 28027;20191104  ;         ;                                                            ;F4534   ;Pancover F 4534 P (NON USARE)                                           ;        4500;   0,82696;        
CL; 26784;20190123  ;         ;                                                            ;F4534   ;Pancover F 4534 P (NON USARE)                                           ;        4500;   0,82696;        
CL; 26683;20190108  ;         ;                                                            ;F4550   ;Pancover F 4550 A                                                       ;        2600;   0,91844;        
CL; 27475;20190617  ;         ;                                                            ;F4613   ;Pancover F 4613                                                         ;        7500;   0,76767;        
CL; 28062;20191108  ;         ;                                                            ;F4613   ;Pancover F 4613                                                         ;       20020;   0,94081;        
CL; 26993;20190311  ;         ;                                                            ;F4625   ;Pancover F 4625                                                         ;       18515;   0,95259;        
CL; 28212;20191217  ;         ;                                                            ;F4625   ;Pancover F 4625                                                         ;       16600;   0,97173;        
CL; 26959;20190305  ;         ;                                                            ;F4631   ;Pancover F 4631                                                         ;        3000;   1,01482;        
CL; 27557;20190703  ;         ;                                                            ;F4637   ;Pancover F 4637                                                         ;        3600;   0,74553;        
CL; 27168;20190415  ;         ;                                                            ;F4637   ;Pancover F 4637                                                         ;        2500;   0,96438;        
CL; 27135;20190405  ;         ;                                                            ;F4920 1 ;Pancover F 4920/1 P                                                     ;        3000;    0,7261;        
CL; 27847;20190921  ;         ;                                                            ;F4920 2 ;Pancover F 4920/2 A                                                     ;        9100;   0,65631;        
CL; 27042;20190321  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        2600;   0,92162;        
CL; 27277;20190513  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        1300;   0,88673;        
CL; 27837;20190918  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        9000;   0,62245;        
CL; 27674;20190730  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        9260;    0,6199;        
CL; 27278;20190513  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        3000;   0,88673;        
CL; 27968;20191021  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        9080;   0,87303;        
CL; 27860;20190923  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        9060;   0,63133;        
CL; 28089;20191118  ;         ;                                                            ;F4950   ;Pancover F 4950 A                                                       ;        8980;   0,87305;        
CL; 26984;20190311  ;         ;                                                            ;F4950 1 ;Pancover F 4950/1 A                                                     ;        5760;   0,97225;        
CL; 27216;20190424  ;         ;                                                            ;F4950 1 ;Pancover F 4950/1 A                                                     ;        4080;   1,01342;        
CL; 28228;20191218  ;         ;                                                            ;F4950 1 ;Pancover F 4950/1 A                                                     ;        3000;   0,96911;        
CL; 26999;20190312  ;         ;                                                            ;F4950 1 ;Pancover F 4950/1 A                                                     ;        6000;    0,9689;        
CL; 26978;20190307  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;         480;   0,82805;        
CL; 27514;20190625  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;         960;   0,82956;        
CL; 26879;20190212  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;        2600;   0,84759;        
CL; 27854;20190921  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;        3900;   0,53314;        
CL; 26979;20190307  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;        4040;   0,82805;        
CL; 27513;20190625  ;         ;                                                            ;F4951   ;Pancover F 4951 P                                                       ;        1300;   0,82956;        
CL; 28038;20191106  ;         ;                                                            ;F4960 1 ;Pancover F 4960/1 A                                                     ;       12140;   0,85371;        
CL; 27619;20190717  ;         ;                                                            ;F4960 1 ;Pancover F 4960/1 A                                                     ;       12320;   0,59136;        
CL; 27412;20190604  ;         ;                                                            ;G4010   ;PANLUBE G 4010                                                          ;         530;   1,47664;        
CL; 27158;20190412  ;         ;                                                            ;G4010   ;PANLUBE G 4010                                                          ;         436;   1,71738;        
CL; 28040;20191106  ;         ;                                                            ;G4210   ;Panlube G 4210                                                          ;        1440;   0,66739;        
CL; 27430;20190607  ;         ;                                                            ;G4210   ;Panlube G 4210                                                          ;        2880;   0,78485;        
CL; 27268;20190510  ;         ;                                                            ;G4210   ;Panlube G 4210                                                          ;        1440;   0,66631;        
CL; 27680;20190730  ;         ;                                                            ;G4210   ;Panlube G 4210                                                          ;        1440;   0,66631;        
CL; 26718;20190114  ;         ;                                                            ;G4210   ;Panlube G 4210                                                          ;        1440;   0,66631;        
CL; 27346;20190522  ;         ;                                                            ;G4215   ;Panlube G 4215                                                          ;         300;    1,6349;        
CL; 27916;20191003  ;         ;                                                            ;G4218   ;Panlube G 4218                                                          ;        1068;   1,13753;        
CL; 27998;20191024  ;         ;                                                            ;G4218   ;Panlube G 4218                                                          ;        1092;   1,01567;        
CL; 26836;20190204  ;         ;                                                            ;G4260   ;Panlube G 4260                                                          ;         103;   1,10699;        
CL; 27071;20190327  ;         ;                                                            ;G4260   ;Panlube G 4260                                                          ;         200;   1,11324;        
CL; 27283;20190513  ;         ;                                                            ;G4260   ;Panlube G 4260                                                          ;         200;   1,19924;        
CL; 28242;20191221  ;         ;                                                            ;G4260   ;Panlube G 4260                                                          ;         150;   1,18503;        
CL; 27273;20190510  ;         ;                                                            ;G4262   ;Panlube G 4262                                                          ;         200;   1,38164;        
CL; 26669;20190104  ;         ;                                                            ;G4305   ;Panlube G 4305                                                          ;         200;   0,79297;        
CL; 27561;20190704  ;         ;                                                            ;G4305   ;Panlube G 4305                                                          ;         200;   0,78412;        
CL; 27159;20190412  ;         ;                                                            ;G4305   ;Panlube G 4305                                                          ;         200;   0,78412;        
CL; 28002;20191025  ;         ;                                                            ;G4305 1 ;Panlube G 4305/1                                                        ;         200;   1,14909;        
CL; 27251;20190508  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        3900;   1,13476;        
CL; 27299;20190515  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;         100;   1,13886;        
CL; 28020;20191029  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        5200;   1,13476;        
CL; 27300;20190515  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        3900;   1,13886;        
CL; 27657;20190726  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        4200;   1,13119;        
CL; 28162;20191204  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;       11700;   1,13476;        
CL; 27150;20190410  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        3900;   1,13476;        
CL; 28192;20191211  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;         250;   1,13721;        
CL; 26736;20190116  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        2600;   1,13476;        
CL; 27391;20190530  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;         250;   1,13875;        
CL; 27043;20190321  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        3900;   1,13476;        
CL; 28193;20191211  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        2600;   1,13721;        
CL; 26884;20190214  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        5200;   1,13476;        
CL; 27392;20190530  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        2600;   1,13875;        
CL; 27756;20190829  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        6500;   1,13476;        
CL; 27993;20191024  ;         ;                                                            ;H4528 4 ;Panchem 4528/4                                                          ;        6500;   1,13476;        
CL; 27118;20190403  ;         ;                                                            ;H5020   ;Panchem 5020                                                            ;        4800;    0,8564;        
CL; 27986;20191024  ;         ;                                                            ;H5020   ;Panchem 5020                                                            ;        1000;   0,85783;        
CL; 27987;20191024  ;         ;                                                            ;H5020   ;Panchem 5020                                                            ;        2400;   0,85783;        
CL; 27596;20190712  ;         ;                                                            ;H5020   ;Panchem 5020                                                            ;         800;    0,8564;        
CL; 27641;20190719  ;         ;                                                            ;H5020   ;Panchem 5020                                                            ;        4800;    0,8564;        
CL; 27803;20190910  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;         500;   0,58543;        
CL; 27272;20190510  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;        1120;   0,42266;        
CL; 27271;20190510  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;         500;   0,42266;        
CL; 26887;20190214  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;         500;   0,85743;        
CL; 27711;20190806  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;        3200;   0,41592;        
CL; 26709;20190111  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;          25;   2,26389;        
CL; 27187;20190417  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;          25;   2,26389;        
CL; 27991;20191024  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;         500;   0,44535;        
CL; 28066;20191112  ;         ;                                                            ;H5030   ;Panchem 5030                                                            ;        2030;   0,56389;        
CL; 27301;20190516  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         720;   2,86226;        
CL; 27427;20190606  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         525;   3,01158;        
CL; 27572;20190705  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         310;   2,94944;        
CL; 28180;20191205  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;        1260;   2,84167;        
CL; 27723;20190809  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         460;   3,01862;        
CL; 27700;20190805  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;          15;   3,14764;        
CL; 27881;20190926  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         600;   3,08059;        
CL; 28220;20191217  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         450;   2,86339;        
CL; 27096;20190402  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;        1000;   2,94546;        
CL; 26681;20190108  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         680;   2,95132;        
CL; 28189;20191210  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         750;   2,84167;        
CL; 27923;20191004  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         460;   2,84295;        
CL; 27493;20190619  ;         ;                                                            ;H5040   ;Panchem 5040 protettivo                                                 ;         250;   3,01987;        
CL; 26783;20190123  ;         ;                                                            ;H5130 2 ;Panchem 5130/2                                                          ;        2000;   1,98247;        
CL; 27509;20190622  ;         ;                                                            ;H5160   ;Panchem 5160                                                            ;         500;   1,46167;        
CL; 27239;20190507  ;         ;                                                            ;H5160   ;Panchem 5160                                                            ;        1000;   1,51028;        
CL; 27757;20190829  ;         ;                                                            ;H5160   ;Panchem 5160                                                            ;         500;   1,51028;        
CL; 26965;20190306  ;         ;                                                            ;H5250   ;Panchem 5250                                                            ;         150;   3,02787;        
CL; 27801;20190910  ;         ;                                                            ;H5270   ;Panchem 5270                                                            ;         500;   1,62404;        
CL; 27339;20190522  ;         ;                                                            ;H5270   ;Panchem 5270                                                            ;         100;   1,62851;        
CL; 27474;20190617  ;         ;                                                            ;H5270   ;Panchem 5270                                                            ;         500;   1,62404;        
CL; 26738;20190116  ;         ;                                                            ;H5270   ;Panchem 5270                                                            ;         350;    1,4825;        
CL; 27772;20190903  ;         ;                                                            ;H5305   ;Panchem 5305                                                            ;         100;   1,94168;        
CL; 27769;20190830  ;         ;                                                            ;H5305   ;Panchem 5305                                                            ;         100;   1,80159;        
CL; 27838;20190919  ;         ;                                                            ;H5305   ;Panchem 5305                                                            ;         100;   1,94168;        
CL; 28052;20191106  ;         ;                                                            ;H5305   ;Panchem 5305                                                            ;         200;   1,80159;        
CL; 27789;20190906  ;         ;                                                            ;H5310   ;Panchem 5310                                                            ;         100;   1,60613;        
CL; 27306;20190516  ;         ;                                                            ;H5310   ;Panchem 5310                                                            ;         150;   1,63852;        
CL; 27831;20190917  ;         ;                                                            ;H5310   ;Panchem 5310                                                            ;         100;   1,63852;        
CL; 26800;20190125  ;         ;                                                            ;H5310   ;Panchem 5310                                                            ;         100;   1,63852;        
CL; 28179;20191206  ;         ;                                                            ;H5310   ;Panchem 5310                                                            ;         100;   1,63852;        
CL; 26908;20190218  ;         ;                                                            ;H5312   ;Panchem 5312                                                            ;          50;   3,20108;        
CL; 27103;20190402  ;         ;                                                            ;H5320   ;Panchem 5320                                                            ;         125;    1,0379;        
CL; 27308;20190516  ;         ;                                                            ;H5320   ;Panchem 5320                                                            ;         100;   1,03779;        
CL; 27827;20190917  ;         ;                                                            ;H5320   ;Panchem 5320                                                            ;         140;   1,09007;        
CL; 26799;20190125  ;         ;                                                            ;H5320   ;Panchem 5320                                                            ;         150;   1,03869;        
CL; 28168;20191206  ;         ;                                                            ;H5320   ;Panchem 5320                                                            ;         150;   1,03816;        
CL; 26754;20190117  ;         ;                                                            ;H5405   ;Panchem 5405                                                            ;         900;   3,34388;        
CL; 27238;20190507  ;         ;                                                            ;H5408   ;Panchem 5408                                                            ;         125;   0,61322;        
CL; 27850;20190921  ;         ;                                                            ;H5408   ;Panchem 5408                                                            ;          80;    0,7778;        
CL; 26798;20190125  ;         ;                                                            ;H5408   ;Panchem 5408                                                            ;         125;   0,61322;        
CL; 26875;20190212  ;         ;                                                            ;H5440   ;Panchem 5440                                                            ;        1200;    0,8894;        
CL; 27317;20190517  ;         ;                                                            ;H5465   ;Panchem 5465                                                            ;         125;   1,03856;        
CL; 26916;20190220  ;         ;                                                            ;H5605   ;Panchem 5605                                                            ;        1100;   0,64426;        
CL; 26966;20190306  ;         ;                                                            ;H5609   ;Panchem 5609                                                            ;         150;  22,77166;        
CL; 27836;20190917  ;         ;                                                            ;H5610   ;Aluflux 5610                                                            ;        1500;   0,55981;        
CL; 26917;20190220  ;         ;                                                            ;H5610G  ;Panchem 5610 GR                                                         ;          25;   2,00919;        
CL; 27343;20190522  ;         ;                                                            ;H5618   ;PANCHEM 5618                                                            ;          45;   2,86517;        
CL; 27342;20190522  ;         ;                                                            ;H5618   ;PANCHEM 5618                                                            ;           5;   2,86517;        
CL; 26688;20190108  ;         ;                                                            ;H5621   ;Panchem 5621                                                            ;          50;   0,56166;        
CL; 27245;20190507  ;         ;                                                            ;H5636   ;Panchem 5636                                                            ;         200;   0,91989;        
CL; 26667;20190104  ;         ;                                                            ;H5636   ;Panchem 5636                                                            ;         125;   0,99174;        
CL; 27169;20190415  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;         200;   1,60403;        
CL; 26901;20190216  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;         150;    1,6639;        
CL; 26674;20190104  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;         100;   1,69384;        
CL; 26727;20190115  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;           5;   4,10042;        
CL; 27788;20190906  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;          50;   1,46394;        
CL; 28154;20191203  ;         ;                                                            ;H5655   ;Panchem 5655                                                            ;         100;   3,94068;        
