BF;  4362;20180209  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        3000;   1,38000;        
BF; 36480;20181122  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        2000;   1,38000;        
BF; 12534;20180417  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        3000;   1,38000;        
BF; 31404;20181009  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        2000;   1,38000;        
BF; 32707;20181018  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        3000;   1,38000;        
BF; 13073;20180419  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,36000;        
BF; 15809;20180516  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        3000;   1,36000;        
BF; 17432;20180530  ;401.00178;BRENNTAG SPA                                                ;A0003   ;POTASSIO SOLFATO FU 99,6%                                               ;KG;        4000;   1,38000;        
BF;   239;20181206  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         500;  16,70000;        
BF; 20188;20180831  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         500;  17,70000;        
BF; 23686;20181005  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0004   ;STAGNO SOLFATO STANNOSO ANIDRO                                          ;KG;         300;  17,60000;        
BF; 20610;20181114  ;401.00270;RAINOLDI S.P.A.                                             ;A0005   ;NICHEL SOLFATO                                                          ;KG;         300;   4,70000;        
BF; 21842;20181130  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;KG;         500;   0,66000;        
BF; 22169;20181206  ;401.00270;RAINOLDI S.P.A.                                             ;A0008   ;ZOLFO Ventilato                                                         ;KG;        1000;   0,66000;        
