CL                  |Attuale        |Nuovo          
26573               |        0.00000|        0.92448
26574               |        0.00000|        0.92448
26578               |        0.00000|        3.27200
26579               |        0.00000|        3.01663
26582               |        0.00000|        0.82341
26583               |        0.00000|        0.82341
26588               |        0.00000|        1.06929
26594               |        0.00000|        0.68761
26595               |        0.00000|        0.70977
26597               |        0.00000|        1.98853
26598               |        0.00000|        3.73167
26599               |        0.00000|        0.88857
26601               |        0.00000|        0.78784
26603               |        0.00000|        1.01732
26605               |        0.00000|        1.15609
26607               |        0.00000|        0.47930
26608               |        0.00000|        1.86051
26609               |        0.00000|        2.96281
26610               |        0.00000|        0.71119
26611               |        0.00000|        0.81532
26612               |        0.00000|        1.14381
26613               |        0.00000|        1.14381
26614               |        0.00000|        0.86880
26615               |        0.00000|        0.62134
26616               |        0.00000|        0.62134
26618               |        0.00000|        0.70406
26619               |        0.00000|        0.70406
26620               |        0.00000|        0.75087
26621               |        0.00000|        3.11735
26622               |        0.00000|        2.46683
26623               |        0.00000|        0.86974
26624               |        0.00000|        0.59276
26625               |        0.00000|        0.73546
26626               |        0.00000|        0.73546
26627               |        0.00000|        0.83740
26628               |        0.00000|        0.50958
26629               |        0.00000|        1.62181
26630               |        0.00000|        2.54918
26631               |        0.00000|        2.49502
26632               |        0.00000|        2.22620
26633               |        0.00000|        1.00335
26634               |        0.00000|        1.24127
26635               |        0.00000|        0.78207
26636               |        0.00000|       27.12200
26637               |        0.00000|        0.63717
26638               |        0.00000|        1.30255
26639               |        0.00000|        1.30255
26640               |        0.00000|        1.00387
26641               |        0.00000|        1.46007
26642               |        0.00000|        0.80610
26643               |        0.00000|        0.85494
26644               |        0.00000|        0.67352
26645               |        0.00000|        1.13829
26646               |        0.00000|        0.63946
26647               |        0.00000|        0.90013
26648               |        0.00000|        0.84958
26649               |        0.00000|        0.84958
26650               |        0.00000|        1.54702
26651               |        0.00000|        0.93034
26652               |        0.00000|        0.93034
26653               |        0.00000|        1.42746
26655               |        0.00000|        1.58384
26656               |        0.00000|        0.71184
26657               |        0.00000|        0.77078
26658               |        0.00000|        0.53267
26659               |        0.00000|        2.37000
26660               |        0.00000|        2.20547
26661               |        0.00000|        1.17841
26662               |        0.00000|        0.60614
26663               |        0.00000|        0.60614
26664               |        0.00000|        0.85561
26666               |        0.00000|        1.12538
26667               |        0.99176|        1.07680
26668               |        0.72984|        0.73667
26669               |        0.79295|        0.86210
26670               |        1.06414|        1.07312
26671               |        0.98893|        0.96230
26672               |        0.61879|        0.62261
26673               |        0.60880|        0.61221
